67 1657 9388
A B C D E F G H I J K L 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
A 0,0 1,0 2,0 3,0
A 0,1 1,1 2,1 3,1
A 0,2 1,2 2,2 3,2
A 0,3 1,3 2,3 3,3
A 0,4 1,4 2,4 3,4
A 1,0 2,0 3,0 4,0
A 1,1 2,1 3,1 4,1
A 1,2 2,2 3,2 4,2
A 1,3 2,3 3,3 4,3
A 1,4 2,4 3,4 4,4
A 2,0 3,0 4,0 5,0
A 2,1 3,1 4,1 5,1
A 2,2 3,2 4,2 5,2
A 2,3 3,3 4,3 5,3
A 2,4 3,4 4,4 5,4
A 3,0 4,0 5,0 6,0
A 3,1 4,1 5,1 6,1
A 3,2 4,2 5,2 6,2
A 3,3 4,3 5,3 6,3
A 3,4 4,4 5,4 6,4
A 4,0 5,0 6,0 7,0
A 4,1 5,1 6,1 7,1
A 4,2 5,2 6,2 7,2
A 4,3 5,3 6,3 7,3
A 4,4 5,4 6,4 7,4
A 5,0 6,0 7,0 8,0
A 5,1 6,1 7,1 8,1
A 5,2 6,2 7,2 8,2
A 5,3 6,3 7,3 8,3
A 5,4 6,4 7,4 8,4
A 6,0 7,0 8,0 9,0
A 6,1 7,1 8,1 9,1
A 6,2 7,2 8,2 9,2
A 6,3 7,3 8,3 9,3
A 6,4 7,4 8,4 9,4
A 7,0 8,0 9,0 10,0
A 7,1 8,1 9,1 10,1
A 7,2 8,2 9,2 10,2
A 7,3 8,3 9,3 10,3
A 7,4 8,4 9,4 10,4
A 0,0 0,1 0,2 0,3
A 0,1 0,2 0,3 0,4
A 1,0 1,1 1,2 1,3
A 1,1 1,2 1,3 1,4
A 2,0 2,1 2,2 2,3
A 2,1 2,2 2,3 2,4
A 3,0 3,1 3,2 3,3
A 3,1 3,2 3,3 3,4
A 4,0 4,1 4,2 4,3
A 4,1 4,2 4,3 4,4
A 5,0 5,1 5,2 5,3
A 5,1 5,2 5,3 5,4
A 6,0 6,1 6,2 6,3
A 6,1 6,2 6,3 6,4
A 7,0 7,1 7,2 7,3
A 7,1 7,2 7,3 7,4
A 8,0 8,1 8,2 8,3
A 8,1 8,2 8,3 8,4
A 9,0 9,1 9,2 9,3
A 9,1 9,2 9,3 9,4
A 10,0 10,1 10,2 10,3
A 10,1 10,2 10,3 10,4
E 6,2 6,3 6,4 5,2 5,3
E 7,0 7,1 7,2 6,0 6,1
E 7,1 7,2 7,3 6,1 6,2
E 7,2 7,3 7,4 6,2 6,3
E 8,0 8,1 8,2 7,0 7,1
E 8,1 8,2 8,3 7,1 7,2
E 8,2 8,3 8,4 7,2 7,3
E 9,0 9,1 9,2 8,0 8,1
E 9,1 9,2 9,3 8,1 8,2
E 9,2 9,3 9,4 8,2 8,3
E 10,0 10,1 10,2 9,0 9,1
E 10,1 10,2 10,3 9,1 9,2
E 10,2 10,3 10,4 9,2 9,3
E 0,0 0,1 0,2 1,0 1,1
E 0,1 0,2 0,3 1,1 1,2
E 0,2 0,3 0,4 1,2 1,3
E 1,0 1,1 1,2 2,0 2,1
E 1,1 1,2 1,3 2,1 2,2
E 1,2 1,3 1,4 2,2 2,3
E 2,0 2,1 2,2 3,0 3,1
E 2,1 2,2 2,3 3,1 3,2
E 2,2 2,3 2,4 3,2 3,3
E 3,0 3,1 3,2 4,0 4,1
E 3,1 3,2 3,3 4,1 4,2
E 3,2 3,3 3,4 4,2 4,3
E 4,0 4,1 4,2 5,0 5,1
E 4,1 4,2 4,3 5,1 5,2
E 4,2 4,3 4,4 5,2 5,3
E 5,0 5,1 5,2 6,0 6,1
E 5,1 5,2 5,3 6,1 6,2
E 5,2 5,3 5,4 6,2 6,3
E 6,0 6,1 6,2 7,0 7,1
E 6,1 6,2 6,3 7,1 7,2
E 6,2 6,3 6,4 7,2 7,3
E 7,0 7,1 7,2 8,0 8,1
E 7,1 7,2 7,3 8,1 8,2
E 7,2 7,3 7,4 8,2 8,3
E 8,0 8,1 8,2 9,0 9,1
E 8,1 8,2 8,3 9,1 9,2
E 8,2 8,3 8,4 9,2 9,3
E 9,0 9,1 9,2 10,0 10,1
E 9,1 9,2 9,3 10,1 10,2
E 9,2 9,3 9,4 10,2 10,3
E 2,1 1,1 0,1 2,0 1,0
E 2,2 1,2 0,2 2,1 1,1
E 2,3 1,3 0,3 2,2 1,2
E 2,4 1,4 0,4 2,3 1,3
E 3,1 2,1 1,1 3,0 2,0
E 3,2 2,2 1,2 3,1 2,1
E 3,3 2,3 1,3 3,2 2,2
E 3,4 2,4 1,4 3,3 2,3
E 4,1 3,1 2,1 4,0 3,0
E 4,2 3,2 2,2 4,1 3,1
E 4,3 3,3 2,3 4,2 3,2
E 4,4 3,4 2,4 4,3 3,3
E 5,1 4,1 3,1 5,0 4,0
E 5,2 4,2 3,2 5,1 4,1
E 5,3 4,3 3,3 5,2 4,2
E 5,4 4,4 3,4 5,3 4,3
E 6,1 5,1 4,1 6,0 5,0
E 6,2 5,2 4,2 6,1 5,1
E 6,3 5,3 4,3 6,2 5,2
E 6,4 5,4 4,4 6,3 5,3
E 7,1 6,1 5,1 7,0 6,0
E 7,2 6,2 5,2 7,1 6,1
E 7,3 6,3 5,3 7,2 6,2
E 7,4 6,4 5,4 7,3 6,3
E 8,1 7,1 6,1 8,0 7,0
E 8,2 7,2 6,2 8,1 7,1
E 8,3 7,3 6,3 8,2 7,2
E 8,4 7,4 6,4 8,3 7,3
E 9,1 8,1 7,1 9,0 8,0
E 9,2 8,2 7,2 9,1 8,1
E 9,3 8,3 7,3 9,2 8,2
E 9,4 8,4 7,4 9,3 8,3
E 10,1 9,1 8,1 10,0 9,0
E 10,2 9,2 8,2 10,1 9,1
E 10,3 9,3 8,3 10,2 9,2
E 10,4 9,4 8,4 10,3 9,3
E 2,0 1,0 0,0 2,1 1,1
E 2,1 1,1 0,1 2,2 1,2
E 2,2 1,2 0,2 2,3 1,3
E 2,3 1,3 0,3 2,4 1,4
E 3,0 2,0 1,0 3,1 2,1
E 3,1 2,1 1,1 3,2 2,2
E 3,2 2,2 1,2 3,3 2,3
E 3,3 2,3 1,3 3,4 2,4
E 4,0 3,0 2,0 4,1 3,1
E 4,1 3,1 2,1 4,2 3,2
E 4,2 3,2 2,2 4,3 3,3
E 4,3 3,3 2,3 4,4 3,4
E 5,0 4,0 3,0 5,1 4,1
E 5,1 4,1 3,1 5,2 4,2
E 5,2 4,2 3,2 5,3 4,3
E 5,3 4,3 3,3 5,4 4,4
E 6,0 5,0 4,0 6,1 5,1
E 6,1 5,1 4,1 6,2 5,2
E 6,2 5,2 4,2 6,3 5,3
E 6,3 5,3 4,3 6,4 5,4
E 7,0 6,0 5,0 7,1 6,1
E 7,1 6,1 5,1 7,2 6,2
E 7,2 6,2 5,2 7,3 6,3
E 7,3 6,3 5,3 7,4 6,4
E 8,0 7,0 6,0 8,1 7,1
E 8,1 7,1 6,1 8,2 7,2
E 8,2 7,2 6,2 8,3 7,3
E 8,3 7,3 6,3 8,4 7,4
E 9,0 8,0 7,0 9,1 8,1
E 9,1 8,1 7,1 9,2 8,2
E 9,2 8,2 7,2 9,3 8,3
E 9,3 8,3 7,3 9,4 8,4
E 10,0 9,0 8,0 10,1 9,1
E 10,1 9,1 8,1 10,2 9,2
E 10,2 9,2 8,2 10,3 9,3
E 10,3 9,3 8,3 10,4 9,4
E 0,2 0,1 0,0 1,2 1,1
E 0,3 0,2 0,1 1,3 1,2
E 0,4 0,3 0,2 1,4 1,3
E 1,2 1,1 1,0 2,2 2,1
E 1,3 1,2 1,1 2,3 2,2
E 1,4 1,3 1,2 2,4 2,3
E 2,2 2,1 2,0 3,2 3,1
E 2,3 2,2 2,1 3,3 3,2
E 2,4 2,3 2,2 3,4 3,3
E 3,2 3,1 3,0 4,2 4,1
E 3,3 3,2 3,1 4,3 4,2
E 3,4 3,3 3,2 4,4 4,3
E 4,2 4,1 4,0 5,2 5,1
E 4,3 4,2 4,1 5,3 5,2
E 4,4 4,3 4,2 5,4 5,3
E 5,2 5,1 5,0 6,2 6,1
E 5,3 5,2 5,1 6,3 6,2
E 5,4 5,3 5,2 6,4 6,3
E 6,2 6,1 6,0 7,2 7,1
E 6,3 6,2 6,1 7,3 7,2
E 6,4 6,3 6,2 7,4 7,3
E 7,2 7,1 7,0 8,2 8,1
E 7,3 7,2 7,1 8,3 8,2
E 7,4 7,3 7,2 8,4 8,3
E 8,2 8,1 8,0 9,2 9,1
E 8,3 8,2 8,1 9,3 9,2
E 8,4 8,3 8,2 9,4 9,3
E 9,2 9,1 9,0 10,2 10,1
E 9,3 9,2 9,1 10,3 10,2
E 9,4 9,3 9,2 10,4 10,3
E 1,2 1,1 1,0 0,2 0,1
E 1,3 1,2 1,1 0,3 0,2
E 1,4 1,3 1,2 0,4 0,3
E 2,2 2,1 2,0 1,2 1,1
E 2,3 2,2 2,1 1,3 1,2
E 2,4 2,3 2,2 1,4 1,3
E 3,2 3,1 3,0 2,2 2,1
E 3,3 3,2 3,1 2,3 2,2
E 3,4 3,3 3,2 2,4 2,3
E 4,2 4,1 4,0 3,2 3,1
E 4,3 4,2 4,1 3,3 3,2
E 4,4 4,3 4,2 3,4 3,3
E 5,2 5,1 5,0 4,2 4,1
E 5,3 5,2 5,1 4,3 4,2
E 5,4 5,3 5,2 4,4 4,3
E 6,2 6,1 6,0 5,2 5,1
E 6,3 6,2 6,1 5,3 5,2
E 6,4 6,3 6,2 5,4 5,3
E 7,2 7,1 7,0 6,2 6,1
E 7,3 7,2 7,1 6,3 6,2
E 7,4 7,3 7,2 6,4 6,3
E 8,2 8,1 8,0 7,2 7,1
E 8,3 8,2 8,1 7,3 7,2
E 8,4 8,3 8,2 7,4 7,3
E 9,2 9,1 9,0 8,2 8,1
E 9,3 9,2 9,1 8,3 8,2
E 9,4 9,3 9,2 8,4 8,3
E 10,2 10,1 10,0 9,2 9,1
E 10,3 10,2 10,1 9,3 9,2
E 10,4 10,3 10,2 9,4 9,3
F 1,0 0,1 1,1 2,1 1,2
F 1,1 0,2 1,2 2,2 1,3
F 1,2 0,3 1,3 2,3 1,4
F 2,0 1,1 2,1 3,1 2,2
F 2,1 1,2 2,2 3,2 2,3
F 2,2 1,3 2,3 3,3 2,4
F 3,0 2,1 3,1 4,1 3,2
F 3,1 2,2 3,2 4,2 3,3
F 3,2 2,3 3,3 4,3 3,4
F 4,0 3,1 4,1 5,1 4,2
F 4,1 3,2 4,2 5,2 4,3
F 4,2 3,3 4,3 5,3 4,4
F 5,0 4,1 5,1 6,1 5,2
F 5,1 4,2 5,2 6,2 5,3
F 5,2 4,3 5,3 6,3 5,4
F 6,0 5,1 6,1 7,1 6,2
F 6,1 5,2 6,2 7,2 6,3
F 6,2 5,3 6,3 7,3 6,4
F 7,0 6,1 7,1 8,1 7,2
F 7,1 6,2 7,2 8,2 7,3
F 7,2 6,3 7,3 8,3 7,4
F 8,0 7,1 8,1 9,1 8,2
F 8,1 7,2 8,2 9,2 8,3
F 8,2 7,3 8,3 9,3 8,4
F 9,0 8,1 9,1 10,1 9,2
F 9,1 8,2 9,2 10,2 9,3
F 9,2 8,3 9,3 10,3 9,4
G 0,0 1,0 1,1 2,1 2,2
G 0,1 1,1 1,2 2,2 2,3
G 0,2 1,2 1,3 2,3 2,4
G 1,0 2,0 2,1 3,1 3,2
G 1,1 2,1 2,2 3,2 3,3
G 1,2 2,2 2,3 3,3 3,4
G 2,0 3,0 3,1 4,1 4,2
G 2,1 3,1 3,2 4,2 4,3
G 2,2 3,2 3,3 4,3 4,4
G 3,0 4,0 4,1 5,1 5,2
G 3,1 4,1 4,2 5,2 5,3
G 3,2 4,2 4,3 5,3 5,4
G 4,0 5,0 5,1 6,1 6,2
G 4,1 5,1 5,2 6,2 6,3
G 4,2 5,2 5,3 6,3 6,4
G 5,0 6,0 6,1 7,1 7,2
G 5,1 6,1 6,2 7,2 7,3
G 5,2 6,2 6,3 7,3 7,4
G 6,0 7,0 7,1 8,1 8,2
G 6,1 7,1 7,2 8,2 8,3
G 6,2 7,2 7,3 8,3 8,4
G 7,0 8,0 8,1 9,1 9,2
G 7,1 8,1 8,2 9,2 9,3
G 7,2 8,2 8,3 9,3 9,4
G 8,0 9,0 9,1 10,1 10,2
G 8,1 9,1 9,2 10,2 10,3
G 8,2 9,2 9,3 10,3 10,4
G 2,0 2,1 1,1 1,2 0,2
G 2,1 2,2 1,2 1,3 0,3
G 2,2 2,3 1,3 1,4 0,4
G 3,0 3,1 2,1 2,2 1,2
G 3,1 3,2 2,2 2,3 1,3
G 3,2 3,3 2,3 2,4 1,4
G 4,0 4,1 3,1 3,2 2,2
G 4,1 4,2 3,2 3,3 2,3
G 4,2 4,3 3,3 3,4 2,4
G 5,0 5,1 4,1 4,2 3,2
G 5,1 5,2 4,2 4,3 3,3
G 5,2 5,3 4,3 4,4 3,4
G 6,0 6,1 5,1 5,2 4,2
G 6,1 6,2 5,2 5,3 4,3
G 6,2 6,3 5,3 5,4 4,4
G 7,0 7,1 6,1 6,2 5,2
G 7,1 7,2 6,2 6,3 5,3
G 7,2 7,3 6,3 6,4 5,4
G 8,0 8,1 7,1 7,2 6,2
G 8,1 8,2 7,2 7,3 6,3
G 8,2 8,3 7,3 7,4 6,4
G 9,0 9,1 8,1 8,2 7,2
G 9,1 9,2 8,2 8,3 7,3
G 9,2 9,3 8,3 8,4 7,4
G 10,0 10,1 9,1 9,2 8,2
G 10,1 10,2 9,2 9,3 8,3
G 10,2 10,3 9,3 9,4 8,4
G 2,2 1,2 1,1 0,1 0,0
G 2,3 1,3 1,2 0,2 0,1
G 2,4 1,4 1,3 0,3 0,2
G 3,2 2,2 2,1 1,1 1,0
G 3,3 2,3 2,2 1,2 1,1
G 3,4 2,4 2,3 1,3 1,2
G 4,2 3,2 3,1 2,1 2,0
G 4,3 3,3 3,2 2,2 2,1
G 4,4 3,4 3,3 2,3 2,2
G 5,2 4,2 4,1 3,1 3,0
G 5,3 4,3 4,2 3,2 3,1
G 5,4 4,4 4,3 3,3 3,2
G 6,2 5,2 5,1 4,1 4,0
G 6,3 5,3 5,2 4,2 4,1
G 6,4 5,4 5,3 4,3 4,2
G 7,2 6,2 6,1 5,1 5,0
G 7,3 6,3 6,2 5,2 5,1
G 7,4 6,4 6,3 5,3 5,2
G 8,2 7,2 7,1 6,1 6,0
G 8,3 7,3 7,2 6,2 6,1
G 8,4 7,4 7,3 6,3 6,2
G 9,2 8,2 8,1 7,1 7,0
G 9,3 8,3 8,2 7,2 7,1
G 9,4 8,4 8,3 7,3 7,2
G 10,2 9,2 9,1 8,1 8,0
G 10,3 9,3 9,2 8,2 8,1
G 10,4 9,4 9,3 8,3 8,2
G 0,2 0,1 1,1 1,0 2,0
G 0,3 0,2 1,2 1,1 2,1
G 0,4 0,3 1,3 1,2 2,2
G 1,2 1,1 2,1 2,0 3,0
G 1,3 1,2 2,2 2,1 3,1
G 1,4 1,3 2,3 2,2 3,2
G 2,2 2,1 3,1 3,0 4,0
G 2,3 2,2 3,2 3,1 4,1
G 2,4 2,3 3,3 3,2 4,2
G 3,2 3,1 4,1 4,0 5,0
G 3,3 3,2 4,2 4,1 5,1
G 3,4 3,3 4,3 4,2 5,2
G 4,2 4,1 5,1 5,0 6,0
G 4,3 4,2 5,2 5,1 6,1
G 4,4 4,3 5,3 5,2 6,2
G 5,2 5,1 6,1 6,0 7,0
G 5,3 5,2 6,2 6,1 7,1
G 5,4 5,3 6,3 6,2 7,2
G 6,2 6,1 7,1 7,0 8,0
G 6,3 6,2 7,2 7,1 8,1
G 6,4 6,3 7,3 7,2 8,2
G 7,2 7,1 8,1 8,0 9,0
G 7,3 7,2 8,2 8,1 9,1
G 7,4 7,3 8,3 8,2 9,2
G 8,2 8,1 9,1 9,0 10,0
G 8,3 8,2 9,2 9,1 10,1
G 8,4 8,3 9,3 9,2 10,2
H 0,0 1,0 2,0 2,1 3,1
H 0,1 1,1 2,1 2,2 3,2
H 0,2 1,2 2,2 2,3 3,3
H 0,3 1,3 2,3 2,4 3,4
H 1,0 2,0 3,0 3,1 4,1
H 1,1 2,1 3,1 3,2 4,2
H 1,2 2,2 3,2 3,3 4,3
H 1,3 2,3 3,3 3,4 4,4
H 2,0 3,0 4,0 4,1 5,1
H 2,1 3,1 4,1 4,2 5,2
H 2,2 3,2 4,2 4,3 5,3
H 2,3 3,3 4,3 4,4 5,4
H 3,0 4,0 5,0 5,1 6,1
H 3,1 4,1 5,1 5,2 6,2
H 3,2 4,2 5,2 5,3 6,3
H 3,3 4,3 5,3 5,4 6,4
H 4,0 5,0 6,0 6,1 7,1
H 4,1 5,1 6,1 6,2 7,2
H 4,2 5,2 6,2 6,3 7,3
H 4,3 5,3 6,3 6,4 7,4
H 5,0 6,0 7,0 7,1 8,1
H 5,1 6,1 7,1 7,2 8,2
H 5,2 6,2 7,2 7,3 8,3
H 5,3 6,3 7,3 7,4 8,4
H 6,0 7,0 8,0 8,1 9,1
H 6,1 7,1 8,1 8,2 9,2
H 6,2 7,2 8,2 8,3 9,3
H 6,3 7,3 8,3 8,4 9,4
H 7,0 8,0 9,0 9,1 10,1
H 7,1 8,1 9,1 9,2 10,2
H 7,2 8,2 9,2 9,3 10,3
H 7,3 8,3 9,3 9,4 10,4
H 0,1 1,1 2,1 2,0 3,0
H 0,2 1,2 2,2 2,1 3,1
H 0,3 1,3 2,3 2,2 3,2
H 0,4 1,4 2,4 2,3 3,3
H 1,1 2,1 3,1 3,0 4,0
H 1,2 2,2 3,2 3,1 4,1
H 1,3 2,3 3,3 3,2 4,2
H 1,4 2,4 3,4 3,3 4,3
H 2,1 3,1 4,1 4,0 5,0
H 2,2 3,2 4,2 4,1 5,1
H 2,3 3,3 4,3 4,2 5,2
H 2,4 3,4 4,4 4,3 5,3
H 3,1 4,1 5,1 5,0 6,0
H 3,2 4,2 5,2 5,1 6,1
H 3,3 4,3 5,3 5,2 6,2
H 3,4 4,4 5,4 5,3 6,3
H 4,1 5,1 6,1 6,0 7,0
H 4,2 5,2 6,2 6,1 7,1
H 4,3 5,3 6,3 6,2 7,2
H 4,4 5,4 6,4 6,3 7,3
H 5,1 6,1 7,1 7,0 8,0
H 5,2 6,2 7,2 7,1 8,1
H 5,3 6,3 7,3 7,2 8,2
H 5,4 6,4 7,4 7,3 8,3
H 6,1 7,1 8,1 8,0 9,0
H 6,2 7,2 8,2 8,1 9,1
H 6,3 7,3 8,3 8,2 9,2
H 6,4 7,4 8,4 8,3 9,3
H 7,1 8,1 9,1 9,0 10,0
H 7,2 8,2 9,2 9,1 10,1
H 7,3 8,3 9,3 9,2 10,2
H 7,4 8,4 9,4 9,3 10,3
H 1,0 1,1 1,2 0,2 0,3
H 1,1 1,2 1,3 0,3 0,4
H 2,0 2,1 2,2 1,2 1,3
H 2,1 2,2 2,3 1,3 1,4
H 3,0 3,1 3,2 2,2 2,3
H 3,1 3,2 3,3 2,3 2,4
H 4,0 4,1 4,2 3,2 3,3
H 4,1 4,2 4,3 3,3 3,4
H 5,0 5,1 5,2 4,2 4,3
H 5,1 5,2 5,3 4,3 4,4
H 6,0 6,1 6,2 5,2 5,3
H 6,1 6,2 6,3 5,3 5,4
H 7,0 7,1 7,2 6,2 6,3
H 7,1 7,2 7,3 6,3 6,4
H 8,0 8,1 8,2 7,2 7,3
H 8,1 8,2 8,3 7,3 7,4
H 9,0 9,1 9,2 8,2 8,3
H 9,1 9,2 9,3 8,3 8,4
H 10,0 10,1 10,2 9,2 9,3
H 10,1 10,2 10,3 9,3 9,4
H 0,0 0,1 0,2 1,2 1,3
H 0,1 0,2 0,3 1,3 1,4
H 1,0 1,1 1,2 2,2 2,3
H 1,1 1,2 1,3 2,3 2,4
H 2,0 2,1 2,2 3,2 3,3
H 2,1 2,2 2,3 3,3 3,4
H 3,0 3,1 3,2 4,2 4,3
H 3,1 3,2 3,3 4,3 4,4
H 4,0 4,1 4,2 5,2 5,3
H 4,1 4,2 4,3 5,3 5,4
H 5,0 5,1 5,2 6,2 6,3
H 5,1 5,2 5,3 6,3 6,4
H 6,0 6,1 6,2 7,2 7,3
H 6,1 6,2 6,3 7,3 7,4
H 7,0 7,1 7,2 8,2 8,3
H 7,1 7,2 7,3 8,3 8,4
H 8,0 8,1 8,2 9,2 9,3
H 8,1 8,2 8,3 9,3 9,4
H 9,0 9,1 9,2 10,2 10,3
H 9,1 9,2 9,3 10,3 10,4
H 3,1 2,1 1,1 1,0 0,0
H 3,2 2,2 1,2 1,1 0,1
H 3,3 2,3 1,3 1,2 0,2
H 3,4 2,4 1,4 1,3 0,3
H 4,1 3,1 2,1 2,0 1,0
H 4,2 3,2 2,2 2,1 1,1
H 4,3 3,3 2,3 2,2 1,2
H 4,4 3,4 2,4 2,3 1,3
H 5,1 4,1 3,1 3,0 2,0
H 5,2 4,2 3,2 3,1 2,1
H 5,3 4,3 3,3 3,2 2,2
H 5,4 4,4 3,4 3,3 2,3
H 6,1 5,1 4,1 4,0 3,0
H 6,2 5,2 4,2 4,1 3,1
H 6,3 5,3 4,3 4,2 3,2
H 6,4 5,4 4,4 4,3 3,3
H 7,1 6,1 5,1 5,0 4,0
H 7,2 6,2 5,2 5,1 4,1
H 7,3 6,3 5,3 5,2 4,2
H 7,4 6,4 5,4 5,3 4,3
H 8,1 7,1 6,1 6,0 5,0
H 8,2 7,2 6,2 6,1 5,1
H 8,3 7,3 6,3 6,2 5,2
H 8,4 7,4 6,4 6,3 5,3
H 9,1 8,1 7,1 7,0 6,0
H 9,2 8,2 7,2 7,1 6,1
H 9,3 8,3 7,3 7,2 6,2
H 9,4 8,4 7,4 7,3 6,3
H 10,1 9,1 8,1 8,0 7,0
H 10,2 9,2 8,2 8,1 7,1
H 10,3 9,3 8,3 8,2 7,2
H 10,4 9,4 8,4 8,3 7,3
H 3,0 2,0 1,0 1,1 0,1
H 3,1 2,1 1,1 1,2 0,2
H 3,2 2,2 1,2 1,3 0,3
H 3,3 2,3 1,3 1,4 0,4
H 4,0 3,0 2,0 2,1 1,1
H 4,1 3,1 2,1 2,2 1,2
H 4,2 3,2 2,2 2,3 1,3
H 4,3 3,3 2,3 2,4 1,4
H 5,0 4,0 3,0 3,1 2,1
H 5,1 4,1 3,1 3,2 2,2
H 5,2 4,2 3,2 3,3 2,3
H 5,3 4,3 3,3 3,4 2,4
H 6,0 5,0 4,0 4,1 3,1
H 6,1 5,1 4,1 4,2 3,2
H 6,2 5,2 4,2 4,3 3,3
H 6,3 5,3 4,3 4,4 3,4
H 7,0 6,0 5,0 5,1 4,1
H 7,1 6,1 5,1 5,2 4,2
H 7,2 6,2 5,2 5,3 4,3
H 7,3 6,3 5,3 5,4 4,4
H 8,0 7,0 6,0 6,1 5,1
H 8,1 7,1 6,1 6,2 5,2
H 8,2 7,2 6,2 6,3 5,3
H 8,3 7,3 6,3 6,4 5,4
H 9,0 8,0 7,0 7,1 6,1
H 9,1 8,1 7,1 7,2 6,2
H 9,2 8,2 7,2 7,3 6,3
H 9,3 8,3 7,3 7,4 6,4
H 10,0 9,0 8,0 8,1 7,1
H 10,1 9,1 8,1 8,2 7,2
H 10,2 9,2 8,2 8,3 7,3
H 10,3 9,3 8,3 8,4 7,4
H 0,3 0,2 0,1 1,1 1,0
H 0,4 0,3 0,2 1,2 1,1
H 1,3 1,2 1,1 2,1 2,0
H 1,4 1,3 1,2 2,2 2,1
H 2,3 2,2 2,1 3,1 3,0
H 2,4 2,3 2,2 3,2 3,1
H 3,3 3,2 3,1 4,1 4,0
H 3,4 3,3 3,2 4,2 4,1
H 4,3 4,2 4,1 5,1 5,0
H 4,4 4,3 4,2 5,2 5,1
H 5,3 5,2 5,1 6,1 6,0
H 5,4 5,3 5,2 6,2 6,1
H 6,3 6,2 6,1 7,1 7,0
H 6,4 6,3 6,2 7,2 7,1
H 7,3 7,2 7,1 8,1 8,0
H 7,4 7,3 7,2 8,2 8,1
H 8,3 8,2 8,1 9,1 9,0
H 8,4 8,3 8,2 9,2 9,1
H 9,3 9,2 9,1 10,1 10,0
H 9,4 9,3 9,2 10,2 10,1
H 1,3 1,2 1,1 0,1 0,0
H 1,4 1,3 1,2 0,2 0,1
H 2,3 2,2 2,1 1,1 1,0
H 2,4 2,3 2,2 1,2 1,1
H 3,3 3,2 3,1 2,1 2,0
H 3,4 3,3 3,2 2,2 2,1
H 4,3 4,2 4,1 3,1 3,0
H 4,4 4,3 4,2 3,2 3,1
H 5,3 5,2 5,1 4,1 4,0
H 5,4 5,3 5,2 4,2 4,1
H 6,3 6,2 6,1 5,1 5,0
H 6,4 6,3 6,2 5,2 5,1
H 7,3 7,2 7,1 6,1 6,0
H 7,4 7,3 7,2 6,2 6,1
H 8,3 8,2 8,1 7,1 7,0
H 8,4 8,3 8,2 7,2 7,1
H 9,3 9,2 9,1 8,1 8,0
H 9,4 9,3 9,2 8,2 8,1
H 10,3 10,2 10,1 9,1 9,0
H 10,4 10,3 10,2 9,2 9,1
I 0,0 1,0 1,1
I 0,1 1,1 1,2
I 0,2 1,2 1,3
I 0,3 1,3 1,4
I 1,0 2,0 2,1
I 1,1 2,1 2,2
I 1,2 2,2 2,3
I 1,3 2,3 2,4
I 2,0 3,0 3,1
I 2,1 3,1 3,2
I 2,2 3,2 3,3
I 2,3 3,3 3,4
I 3,0 4,0 4,1
I 3,1 4,1 4,2
I 3,2 4,2 4,3
I 3,3 4,3 4,4
I 4,0 5,0 5,1
I 4,1 5,1 5,2
I 4,2 5,2 5,3
I 4,3 5,3 5,4
I 5,0 6,0 6,1
I 5,1 6,1 6,2
I 5,2 6,2 6,3
I 5,3 6,3 6,4
I 6,0 7,0 7,1
I 6,1 7,1 7,2
I 6,2 7,2 7,3
I 6,3 7,3 7,4
I 7,0 8,0 8,1
I 7,1 8,1 8,2
I 7,2 8,2 8,3
I 7,3 8,3 8,4
I 8,0 9,0 9,1
I 8,1 9,1 9,2
I 8,2 9,2 9,3
I 8,3 9,3 9,4
I 9,0 10,0 10,1
I 9,1 10,1 10,2
I 9,2 10,2 10,3
I 9,3 10,3 10,4
I 1,0 1,1 0,1
I 1,1 1,2 0,2
I 1,2 1,3 0,3
I 1,3 1,4 0,4
I 2,0 2,1 1,1
I 2,1 2,2 1,2
I 2,2 2,3 1,3
I 2,3 2,4 1,4
I 3,0 3,1 2,1
I 3,1 3,2 2,2
I 3,2 3,3 2,3
I 3,3 3,4 2,4
I 4,0 4,1 3,1
I 4,1 4,2 3,2
I 4,2 4,3 3,3
I 4,3 4,4 3,4
I 5,0 5,1 4,1
I 5,1 5,2 4,2
I 5,2 5,3 4,3
I 5,3 5,4 4,4
I 6,0 6,1 5,1
I 6,1 6,2 5,2
I 6,2 6,3 5,3
I 6,3 6,4 5,4
I 7,0 7,1 6,1
I 7,1 7,2 6,2
I 7,2 7,3 6,3
I 7,3 7,4 6,4
I 8,0 8,1 7,1
I 8,1 8,2 7,2
I 8,2 8,3 7,3
I 8,3 8,4 7,4
I 9,0 9,1 8,1
I 9,1 9,2 8,2
I 9,2 9,3 8,3
I 9,3 9,4 8,4
I 10,0 10,1 9,1
I 10,1 10,2 9,2
I 10,2 10,3 9,3
I 10,3 10,4 9,4
I 1,1 0,1 0,0
I 1,2 0,2 0,1
I 1,3 0,3 0,2
I 1,4 0,4 0,3
I 2,1 1,1 1,0
I 2,2 1,2 1,1
I 2,3 1,3 1,2
I 2,4 1,4 1,3
I 3,1 2,1 2,0
