67 1657 9388
w0 w1 w2 w3 w4 w5 w6 w7 w8 w9 w10 w11 0,0 0,1 0,2 0,3 0,4 1,0 1,1 1,2 1,3 1,4 2,0 2,1 2,2 2,3 2,4 3,0 3,1 3,2 3,3 3,4 4,0 4,1 4,2 4,3 4,4 5,0 5,1 5,2 5,3 5,4 6,0 6,1 6,2 6,3 6,4 7,0 7,1 7,2 7,3 7,4 8,0 8,1 8,2 8,3 8,4 9,0 9,1 9,2 9,3 9,4 10,0 10,1 10,2 10,3 10,4
w0 0,0 1,0 2,0 3,0
w0 0,1 1,1 2,1 3,1
w0 0,2 1,2 2,2 3,2
w0 0,3 1,3 2,3 3,3
w0 0,4 1,4 2,4 3,4
w0 1,0 2,0 3,0 4,0
w0 1,1 2,1 3,1 4,1
w0 1,2 2,2 3,2 4,2
w0 1,3 2,3 3,3 4,3
w0 1,4 2,4 3,4 4,4
w0 2,0 3,0 4,0 5,0
w0 2,1 3,1 4,1 5,1
w0 2,2 3,2 4,2 5,2
w0 2,3 3,3 4,3 5,3
w0 2,4 3,4 4,4 5,4
w0 3,0 4,0 5,0 6,0
w0 3,1 4,1 5,1 6,1
w0 3,2 4,2 5,2 6,2
w0 3,3 4,3 5,3 6,3
w0 3,4 4,4 5,4 6,4
w0 4,0 5,0 6,0 7,0
w0 4,1 5,1 6,1 7,1
w0 4,2 5,2 6,2 7,2
w0 4,3 5,3 6,3 7,3
w0 4,4 5,4 6,4 7,4
w0 5,0 6,0 7,0 8,0
w0 5,1 6,1 7,1 8,1
w0 5,2 6,2 7,2 8,2
w0 5,3 6,3 7,3 8,3
w0 5,4 6,4 7,4 8,4
w0 6,0 7,0 8,0 9,0
w0 6,1 7,1 8,1 9,1
w0 6,2 7,2 8,2 9,2
w0 6,3 7,3 8,3 9,3
w0 6,4 7,4 8,4 9,4
w0 7,0 8,0 9,0 10,0
w0 7,1 8,1 9,1 10,1
w0 7,2 8,2 9,2 10,2
w0 7,3 8,3 9,3 10,3
w0 7,4 8,4 9,4 10,4
w0 0,0 0,1 0,2 0,3
w0 0,1 0,2 0,3 0,4
w0 1,0 1,1 1,2 1,3
w0 1,1 1,2 1,3 1,4
w0 2,0 2,1 2,2 2,3
w0 2,1 2,2 2,3 2,4
w0 3,0 3,1 3,2 3,3
w0 3,1 3,2 3,3 3,4
w0 4,0 4,1 4,2 4,3
w0 4,1 4,2 4,3 4,4
w0 5,0 5,1 5,2 5,3
w0 5,1 5,2 5,3 5,4
w0 6,0 6,1 6,2 6,3
w0 6,1 6,2 6,3 6,4
w0 7,0 7,1 7,2 7,3
w0 7,1 7,2 7,3 7,4
w0 8,0 8,1 8,2 8,3
w0 8,1 8,2 8,3 8,4
w0 9,0 9,1 9,2 9,3
w0 9,1 9,2 9,3 9,4
w0 10,0 10,1 10,2 10,3
w0 10,1 10,2 10,3 10,4
w4 5,3 6,3 7,3 5,2 6,2
w4 5,4 6,4 7,4 5,3 6,3
w4 6,1 7,1 8,1 6,0 7,0
w4 6,2 7,2 8,2 6,1 7,1
w4 6,3 7,3 8,3 6,2 7,2
w4 6,4 7,4 8,4 6,3 7,3
w4 7,1 8,1 9,1 7,0 8,0
w4 7,2 8,2 9,2 7,1 8,1
w4 7,3 8,3 9,3 7,2 8,2
w4 7,4 8,4 9,4 7,3 8,3
w4 8,1 9,1 10,1 8,0 9,0
w4 8,2 9,2 10,2 8,1 9,1
w4 8,3 9,3 10,3 8,2 9,2
w4 8,4 9,4 10,4 8,3 9,3
w4 1,0 1,1 1,2 0,0 0,1
w4 1,1 1,2 1,3 0,1 0,2
w4 1,2 1,3 1,4 0,2 0,3
w4 2,0 2,1 2,2 1,0 1,1
w4 2,1 2,2 2,3 1,1 1,2
w4 2,2 2,3 2,4 1,2 1,3
w4 3,0 3,1 3,2 2,0 2,1
w4 3,1 3,2 3,3 2,1 2,2
w4 3,2 3,3 3,4 2,2 2,3
w4 4,0 4,1 4,2 3,0 3,1
w4 4,1 4,2 4,3 3,1 3,2
w4 4,2 4,3 4,4 3,2 3,3
w4 5,0 5,1 5,2 4,0 4,1
w4 5,1 5,2 5,3 4,1 4,2
w4 5,2 5,3 5,4 4,2 4,3
w4 6,0 6,1 6,2 5,0 5,1
w4 6,1 6,2 6,3 5,1 5,2
w4 6,2 6,3 6,4 5,2 5,3
w4 7,0 7,1 7,2 6,0 6,1
w4 7,1 7,2 7,3 6,1 6,2
w4 7,2 7,3 7,4 6,2 6,3
w4 8,0 8,1 8,2 7,0 7,1
w4 8,1 8,2 8,3 7,1 7,2
w4 8,2 8,3 8,4 7,2 7,3
w4 9,0 9,1 9,2 8,0 8,1
w4 9,1 9,2 9,3 8,1 8,2
w4 9,2 9,3 9,4 8,2 8,3
w4 10,0 10,1 10,2 9,0 9,1
w4 10,1 10,2 10,3 9,1 9,2
w4 10,2 10,3 10,4 9,2 9,3
w4 0,0 0,1 0,2 1,0 1,1
w4 0,1 0,2 0,3 1,1 1,2
w4 0,2 0,3 0,4 1,2 1,3
w4 1,0 1,1 1,2 2,0 2,1
w4 1,1 1,2 1,3 2,1 2,2
w4 1,2 1,3 1,4 2,2 2,3
w4 2,0 2,1 2,2 3,0 3,1
w4 2,1 2,2 2,3 3,1 3,2
w4 2,2 2,3 2,4 3,2 3,3
w4 3,0 3,1 3,2 4,0 4,1
w4 3,1 3,2 3,3 4,1 4,2
w4 3,2 3,3 3,4 4,2 4,3
w4 4,0 4,1 4,2 5,0 5,1
w4 4,1 4,2 4,3 5,1 5,2
w4 4,2 4,3 4,4 5,2 5,3
w4 5,0 5,1 5,2 6,0 6,1
w4 5,1 5,2 5,3 6,1 6,2
w4 5,2 5,3 5,4 6,2 6,3
w4 6,0 6,1 6,2 7,0 7,1
w4 6,1 6,2 6,3 7,1 7,2
w4 6,2 6,3 6,4 7,2 7,3
w4 7,0 7,1 7,2 8,0 8,1
w4 7,1 7,2 7,3 8,1 8,2
w4 7,2 7,3 7,4 8,2 8,3
w4 8,0 8,1 8,2 9,0 9,1
w4 8,1 8,2 8,3 9,1 9,2
w4 8,2 8,3 8,4 9,2 9,3
w4 9,0 9,1 9,2 10,0 10,1
w4 9,1 9,2 9,3 10,1 10,2
w4 9,2 9,3 9,4 10,2 10,3
w4 2,1 1,1 0,1 2,0 1,0
w4 2,2 1,2 0,2 2,1 1,1
w4 2,3 1,3 0,3 2,2 1,2
w4 2,4 1,4 0,4 2,3 1,3
w4 3,1 2,1 1,1 3,0 2,0
w4 3,2 2,2 1,2 3,1 2,1
w4 3,3 2,3 1,3 3,2 2,2
w4 3,4 2,4 1,4 3,3 2,3
w4 4,1 3,1 2,1 4,0 3,0
w4 4,2 3,2 2,2 4,1 3,1
w4 4,3 3,3 2,3 4,2 3,2
w4 4,4 3,4 2,4 4,3 3,3
w4 5,1 4,1 3,1 5,0 4,0
w4 5,2 4,2 3,2 5,1 4,1
w4 5,3 4,3 3,3 5,2 4,2
w4 5,4 4,4 3,4 5,3 4,3
w4 6,1 5,1 4,1 6,0 5,0
w4 6,2 5,2 4,2 6,1 5,1
w4 6,3 5,3 4,3 6,2 5,2
w4 6,4 5,4 4,4 6,3 5,3
w4 7,1 6,1 5,1 7,0 6,0
w4 7,2 6,2 5,2 7,1 6,1
w4 7,3 6,3 5,3 7,2 6,2
w4 7,4 6,4 5,4 7,3 6,3
w4 8,1 7,1 6,1 8,0 7,0
w4 8,2 7,2 6,2 8,1 7,1
w4 8,3 7,3 6,3 8,2 7,2
w4 8,4 7,4 6,4 8,3 7,3
w4 9,1 8,1 7,1 9,0 8,0
w4 9,2 8,2 7,2 9,1 8,1
w4 9,3 8,3 7,3 9,2 8,2
w4 9,4 8,4 7,4 9,3 8,3
w4 10,1 9,1 8,1 10,0 9,0
w4 10,2 9,2 8,2 10,1 9,1
w4 10,3 9,3 8,3 10,2 9,2
w4 10,4 9,4 8,4 10,3 9,3
w4 2,0 1,0 0,0 2,1 1,1
w4 2,1 1,1 0,1 2,2 1,2
w4 2,2 1,2 0,2 2,3 1,3
w4 2,3 1,3 0,3 2,4 1,4
w4 3,0 2,0 1,0 3,1 2,1
w4 3,1 2,1 1,1 3,2 2,2
w4 3,2 2,2 1,2 3,3 2,3
w4 3,3 2,3 1,3 3,4 2,4
w4 4,0 3,0 2,0 4,1 3,1
w4 4,1 3,1 2,1 4,2 3,2
w4 4,2 3,2 2,2 4,3 3,3
w4 4,3 3,3 2,3 4,4 3,4
w4 5,0 4,0 3,0 5,1 4,1
w4 5,1 4,1 3,1 5,2 4,2
w4 5,2 4,2 3,2 5,3 4,3
w4 5,3 4,3 3,3 5,4 4,4
w4 6,0 5,0 4,0 6,1 5,1
w4 6,1 5,1 4,1 6,2 5,2
w4 6,2 5,2 4,2 6,3 5,3
w4 6,3 5,3 4,3 6,4 5,4
w4 7,0 6,0 5,0 7,1 6,1
w4 7,1 6,1 5,1 7,2 6,2
w4 7,2 6,2 5,2 7,3 6,3
w4 7,3 6,3 5,3 7,4 6,4
w4 8,0 7,0 6,0 8,1 7,1
w4 8,1 7,1 6,1 8,2 7,2
w4 8,2 7,2 6,2 8,3 7,3
w4 8,3 7,3 6,3 8,4 7,4
w4 9,0 8,0 7,0 9,1 8,1
w4 9,1 8,1 7,1 9,2 8,2
w4 9,2 8,2 7,2 9,3 8,3
w4 9,3 8,3 7,3 9,4 8,4
w4 10,0 9,0 8,0 10,1 9,1
w4 10,1 9,1 8,1 10,2 9,2
w4 10,2 9,2 8,2 10,3 9,3
w4 10,3 9,3 8,3 10,4 9,4
w4 0,2 0,1 0,0 1,2 1,1
w4 0,3 0,2 0,1 1,3 1,2
w4 0,4 0,3 0,2 1,4 1,3
w4 1,2 1,1 1,0 2,2 2,1
w4 1,3 1,2 1,1 2,3 2,2
w4 1,4 1,3 1,2 2,4 2,3
w4 2,2 2,1 2,0 3,2 3,1
w4 2,3 2,2 2,1 3,3 3,2
w4 2,4 2,3 2,2 3,4 3,3
w4 3,2 3,1 3,0 4,2 4,1
w4 3,3 3,2 3,1 4,3 4,2
w4 3,4 3,3 3,2 4,4 4,3
w4 4,2 4,1 4,0 5,2 5,1
w4 4,3 4,2 4,1 5,3 5,2
w4 4,4 4,3 4,2 5,4 5,3
w4 5,2 5,1 5,0 6,2 6,1
w4 5,3 5,2 5,1 6,3 6,2
w4 5,4 5,3 5,2 6,4 6,3
w4 6,2 6,1 6,0 7,2 7,1
w4 6,3 6,2 6,1 7,3 7,2
w4 6,4 6,3 6,2 7,4 7,3
w4 7,2 7,1 7,0 8,2 8,1
w4 7,3 7,2 7,1 8,3 8,2
w4 7,4 7,3 7,2 8,4 8,3
w4 8,2 8,1 8,0 9,2 9,1
w4 8,3 8,2 8,1 9,3 9,2
w4 8,4 8,3 8,2 9,4 9,3
w4 9,2 9,1 9,0 10,2 10,1
w4 9,3 9,2 9,1 10,3 10,2
w4 9,4 9,3 9,2 10,4 10,3
w4 1,2 1,1 1,0 0,2 0,1
w4 1,3 1,2 1,1 0,3 0,2
w4 1,4 1,3 1,2 0,4 0,3
w4 2,2 2,1 2,0 1,2 1,1
w4 2,3 2,2 2,1 1,3 1,2
w4 2,4 2,3 2,2 1,4 1,3
w4 3,2 3,1 3,0 2,2 2,1
w4 3,3 3,2 3,1 2,3 2,2
w4 3,4 3,3 3,2 2,4 2,3
w4 4,2 4,1 4,0 3,2 3,1
w4 4,3 4,2 4,1 3,3 3,2
w4 4,4 4,3 4,2 3,4 3,3
w4 5,2 5,1 5,0 4,2 4,1
w4 5,3 5,2 5,1 4,3 4,2
w4 5,4 5,3 5,2 4,4 4,3
w4 6,2 6,1 6,0 5,2 5,1
w4 6,3 6,2 6,1 5,3 5,2
w4 6,4 6,3 6,2 5,4 5,3
w4 7,2 7,1 7,0 6,2 6,1
w4 7,3 7,2 7,1 6,3 6,2
w4 7,4 7,3 7,2 6,4 6,3
w4 8,2 8,1 8,0 7,2 7,1
w4 8,3 8,2 8,1 7,3 7,2
w4 8,4 8,3 8,2 7,4 7,3
w4 9,2 9,1 9,0 8,2 8,1
w4 9,3 9,2 9,1 8,3 8,2
w4 9,4 9,3 9,2 8,4 8,3
w4 10,2 10,1 10,0 9,2 9,1
w4 10,3 10,2 10,1 9,3 9,2
w4 10,4 10,3 10,2 9,4 9,3
w5 1,0 0,1 1,1 2,1 1,2
w5 1,1 0,2 1,2 2,2 1,3
w5 1,2 0,3 1,3 2,3 1,4
w5 2,0 1,1 2,1 3,1 2,2
w5 2,1 1,2 2,2 3,2 2,3
w5 2,2 1,3 2,3 3,3 2,4
w5 3,0 2,1 3,1 4,1 3,2
w5 3,1 2,2 3,2 4,2 3,3
w5 3,2 2,3 3,3 4,3 3,4
w5 4,0 3,1 4,1 5,1 4,2
w5 4,1 3,2 4,2 5,2 4,3
w5 4,2 3,3 4,3 5,3 4,4
w5 5,0 4,1 5,1 6,1 5,2
w5 5,1 4,2 5,2 6,2 5,3
w5 5,2 4,3 5,3 6,3 5,4
w5 6,0 5,1 6,1 7,1 6,2
w5 6,1 5,2 6,2 7,2 6,3
w5 6,2 5,3 6,3 7,3 6,4
w5 7,0 6,1 7,1 8,1 7,2
w5 7,1 6,2 7,2 8,2 7,3
w5 7,2 6,3 7,3 8,3 7,4
w5 8,0 7,1 8,1 9,1 8,2
w5 8,1 7,2 8,2 9,2 8,3
w5 8,2 7,3 8,3 9,3 8,4
w5 9,0 8,1 9,1 10,1 9,2
w5 9,1 8,2 9,2 10,2 9,3
w5 9,2 8,3 9,3 10,3 9,4
w6 0,0 1,0 1,1 2,1 2,2
w6 0,1 1,1 1,2 2,2 2,3
w6 0,2 1,2 1,3 2,3 2,4
w6 1,0 2,0 2,1 3,1 3,2
w6 1,1 2,1 2,2 3,2 3,3
w6 1,2 2,2 2,3 3,3 3,4
w6 2,0 3,0 3,1 4,1 4,2
w6 2,1 3,1 3,2 4,2 4,3
w6 2,2 3,2 3,3 4,3 4,4
w6 3,0 4,0 4,1 5,1 5,2
w6 3,1 4,1 4,2 5,2 5,3
w6 3,2 4,2 4,3 5,3 5,4
w6 4,0 5,0 5,1 6,1 6,2
w6 4,1 5,1 5,2 6,2 6,3
w6 4,2 5,2 5,3 6,3 6,4
w6 5,0 6,0 6,1 7,1 7,2
w6 5,1 6,1 6,2 7,2 7,3
w6 5,2 6,2 6,3 7,3 7,4
w6 6,0 7,0 7,1 8,1 8,2
w6 6,1 7,1 7,2 8,2 8,3
w6 6,2 7,2 7,3 8,3 8,4
w6 7,0 8,0 8,1 9,1 9,2
w6 7,1 8,1 8,2 9,2 9,3
w6 7,2 8,2 8,3 9,3 9,4
w6 8,0 9,0 9,1 10,1 10,2
w6 8,1 9,1 9,2 10,2 10,3
w6 8,2 9,2 9,3 10,3 10,4
w6 2,0 2,1 1,1 1,2 0,2
w6 2,1 2,2 1,2 1,3 0,3
w6 2,2 2,3 1,3 1,4 0,4
w6 3,0 3,1 2,1 2,2 1,2
w6 3,1 3,2 2,2 2,3 1,3
w6 3,2 3,3 2,3 2,4 1,4
w6 4,0 4,1 3,1 3,2 2,2
w6 4,1 4,2 3,2 3,3 2,3
w6 4,2 4,3 3,3 3,4 2,4
w6 5,0 5,1 4,1 4,2 3,2
w6 5,1 5,2 4,2 4,3 3,3
w6 5,2 5,3 4,3 4,4 3,4
w6 6,0 6,1 5,1 5,2 4,2
w6 6,1 6,2 5,2 5,3 4,3
w6 6,2 6,3 5,3 5,4 4,4
w6 7,0 7,1 6,1 6,2 5,2
w6 7,1 7,2 6,2 6,3 5,3
w6 7,2 7,3 6,3 6,4 5,4
w6 8,0 8,1 7,1 7,2 6,2
w6 8,1 8,2 7,2 7,3 6,3
w6 8,2 8,3 7,3 7,4 6,4
w6 9,0 9,1 8,1 8,2 7,2
w6 9,1 9,2 8,2 8,3 7,3
w6 9,2 9,3 8,3 8,4 7,4
w6 10,0 10,1 9,1 9,2 8,2
w6 10,1 10,2 9,2 9,3 8,3
w6 10,2 10,3 9,3 9,4 8,4
w6 2,2 1,2 1,1 0,1 0,0
w6 2,3 1,3 1,2 0,2 0,1
w6 2,4 1,4 1,3 0,3 0,2
w6 3,2 2,2 2,1 1,1 1,0
w6 3,3 2,3 2,2 1,2 1,1
w6 3,4 2,4 2,3 1,3 1,2
w6 4,2 3,2 3,1 2,1 2,0
w6 4,3 3,3 3,2 2,2 2,1
w6 4,4 3,4 3,3 2,3 2,2
w6 5,2 4,2 4,1 3,1 3,0
w6 5,3 4,3 4,2 3,2 3,1
w6 5,4 4,4 4,3 3,3 3,2
w6 6,2 5,2 5,1 4,1 4,0
w6 6,3 5,3 5,2 4,2 4,1
w6 6,4 5,4 5,3 4,3 4,2
w6 7,2 6,2 6,1 5,1 5,0
w6 7,3 6,3 6,2 5,2 5,1
w6 7,4 6,4 6,3 5,3 5,2
w6 8,2 7,2 7,1 6,1 6,0
w6 8,3 7,3 7,2 6,2 6,1
w6 8,4 7,4 7,3 6,3 6,2
w6 9,2 8,2 8,1 7,1 7,0
w6 9,3 8,3 8,2 7,2 7,1
w6 9,4 8,4 8,3 7,3 7,2
w6 10,2 9,2 9,1 8,1 8,0
w6 10,3 9,3 9,2 8,2 8,1
w6 10,4 9,4 9,3 8,3 8,2
w6 0,2 0,1 1,1 1,0 2,0
w6 0,3 0,2 1,2 1,1 2,1
w6 0,4 0,3 1,3 1,2 2,2
w6 1,2 1,1 2,1 2,0 3,0
w6 1,3 1,2 2,2 2,1 3,1
w6 1,4 1,3 2,3 2,2 3,2
w6 2,2 2,1 3,1 3,0 4,0
w6 2,3 2,2 3,2 3,1 4,1
w6 2,4 2,3 3,3 3,2 4,2
w6 3,2 3,1 4,1 4,0 5,0
w6 3,3 3,2 4,2 4,1 5,1
w6 3,4 3,3 4,3 4,2 5,2
w6 4,2 4,1 5,1 5,0 6,0
w6 4,3 4,2 5,2 5,1 6,1
w6 4,4 4,3 5,3 5,2 6,2
w6 5,2 5,1 6,1 6,0 7,0
w6 5,3 5,2 6,2 6,1 7,1
w6 5,4 5,3 6,3 6,2 7,2
w6 6,2 6,1 7,1 7,0 8,0
w6 6,3 6,2 7,2 7,1 8,1
w6 6,4 6,3 7,3 7,2 8,2
w6 7,2 7,1 8,1 8,0 9,0
w6 7,3 7,2 8,2 8,1 9,1
w6 7,4 7,3 8,3 8,2 9,2
w6 8,2 8,1 9,1 9,0 10,0
w6 8,3 8,2 9,2 9,1 10,1
w6 8,4 8,3 9,3 9,2 10,2
w7 0,0 1,0 2,0 2,1 3,1
w7 0,1 1,1 2,1 2,2 3,2
w7 0,2 1,2 2,2 2,3 3,3
w7 0,3 1,3 2,3 2,4 3,4
w7 1,0 2,0 3,0 3,1 4,1
w7 1,1 2,1 3,1 3,2 4,2
w7 1,2 2,2 3,2 3,3 4,3
w7 1,3 2,3 3,3 3,4 4,4
w7 2,0 3,0 4,0 4,1 5,1
w7 2,1 3,1 4,1 4,2 5,2
w7 2,2 3,2 4,2 4,3 5,3
w7 2,3 3,3 4,3 4,4 5,4
w7 3,0 4,0 5,0 5,1 6,1
w7 3,1 4,1 5,1 5,2 6,2
w7 3,2 4,2 5,2 5,3 6,3
w7 3,3 4,3 5,3 5,4 6,4
w7 4,0 5,0 6,0 6,1 7,1
w7 4,1 5,1 6,1 6,2 7,2
w7 4,2 5,2 6,2 6,3 7,3
w7 4,3 5,3 6,3 6,4 7,4
w7 5,0 6,0 7,0 7,1 8,1
w7 5,1 6,1 7,1 7,2 8,2
w7 5,2 6,2 7,2 7,3 8,3
w7 5,3 6,3 7,3 7,4 8,4
w7 6,0 7,0 8,0 8,1 9,1
w7 6,1 7,1 8,1 8,2 9,2
w7 6,2 7,2 8,2 8,3 9,3
w7 6,3 7,3 8,3 8,4 9,4
w7 7,0 8,0 9,0 9,1 10,1
w7 7,1 8,1 9,1 9,2 10,2
w7 7,2 8,2 9,2 9,3 10,3
w7 7,3 8,3 9,3 9,4 10,4
w7 0,1 1,1 2,1 2,0 3,0
w7 0,2 1,2 2,2 2,1 3,1
w7 0,3 1,3 2,3 2,2 3,2
w7 0,4 1,4 2,4 2,3 3,3
w7 1,1 2,1 3,1 3,0 4,0
w7 1,2 2,2 3,2 3,1 4,1
w7 1,3 2,3 3,3 3,2 4,2
w7 1,4 2,4 3,4 3,3 4,3
w7 2,1 3,1 4,1 4,0 5,0
w7 2,2 3,2 4,2 4,1 5,1
w7 2,3 3,3 4,3 4,2 5,2
w7 2,4 3,4 4,4 4,3 5,3
w7 3,1 4,1 5,1 5,0 6,0
w7 3,2 4,2 5,2 5,1 6,1
w7 3,3 4,3 5,3 5,2 6,2
w7 3,4 4,4 5,4 5,3 6,3
w7 4,1 5,1 6,1 6,0 7,0
w7 4,2 5,2 6,2 6,1 7,1
w7 4,3 5,3 6,3 6,2 7,2
w7 4,4 5,4 6,4 6,3 7,3
w7 5,1 6,1 7,1 7,0 8,0
w7 5,2 6,2 7,2 7,1 8,1
w7 5,3 6,3 7,3 7,2 8,2
w7 5,4 6,4 7,4 7,3 8,3
w7 6,1 7,1 8,1 8,0 9,0
w7 6,2 7,2 8,2 8,1 9,1
w7 6,3 7,3 8,3 8,2 9,2
w7 6,4 7,4 8,4 8,3 9,3
w7 7,1 8,1 9,1 9,0 10,0
w7 7,2 8,2 9,2 9,1 10,1
w7 7,3 8,3 9,3 9,2 10,2
w7 7,4 8,4 9,4 9,3 10,3
w7 1,0 1,1 1,2 0,2 0,3
w7 1,1 1,2 1,3 0,3 0,4
w7 2,0 2,1 2,2 1,2 1,3
w7 2,1 2,2 2,3 1,3 1,4
w7 3,0 3,1 3,2 2,2 2,3
w7 3,1 3,2 3,3 2,3 2,4
w7 4,0 4,1 4,2 3,2 3,3
w7 4,1 4,2 4,3 3,3 3,4
w7 5,0 5,1 5,2 4,2 4,3
w7 5,1 5,2 5,3 4,3 4,4
w7 6,0 6,1 6,2 5,2 5,3
w7 6,1 6,2 6,3 5,3 5,4
w7 7,0 7,1 7,2 6,2 6,3
w7 7,1 7,2 7,3 6,3 6,4
w7 8,0 8,1 8,2 7,2 7,3
w7 8,1 8,2 8,3 7,3 7,4
w7 9,0 9,1 9,2 8,2 8,3
w7 9,1 9,2 9,3 8,3 8,4
w7 10,0 10,1 10,2 9,2 9,3
w7 10,1 10,2 10,3 9,3 9,4
w7 0,0 0,1 0,2 1,2 1,3
w7 0,1 0,2 0,3 1,3 1,4
w7 1,0 1,1 1,2 2,2 2,3
w7 1,1 1,2 1,3 2,3 2,4
w7 2,0 2,1 2,2 3,2 3,3
w7 2,1 2,2 2,3 3,3 3,4
w7 3,0 3,1 3,2 4,2 4,3
w7 3,1 3,2 3,3 4,3 4,4
w7 4,0 4,1 4,2 5,2 5,3
w7 4,1 4,2 4,3 5,3 5,4
w7 5,0 5,1 5,2 6,2 6,3
w7 5,1 5,2 5,3 6,3 6,4
w7 6,0 6,1 6,2 7,2 7,3
w7 6,1 6,2 6,3 7,3 7,4
w7 7,0 7,1 7,2 8,2 8,3
w7 7,1 7,2 7,3 8,3 8,4
w7 8,0 8,1 8,2 9,2 9,3
w7 8,1 8,2 8,3 9,3 9,4
w7 9,0 9,1 9,2 10,2 10,3
w7 9,1 9,2 9,3 10,3 10,4
w7 3,1 2,1 1,1 1,0 0,0
w7 3,2 2,2 1,2 1,1 0,1
w7 3,3 2,3 1,3 1,2 0,2
w7 3,4 2,4 1,4 1,3 0,3
w7 4,1 3,1 2,1 2,0 1,0
w7 4,2 3,2 2,2 2,1 1,1
w7 4,3 3,3 2,3 2,2 1,2
w7 4,4 3,4 2,4 2,3 1,3
w7 5,1 4,1 3,1 3,0 2,0
w7 5,2 4,2 3,2 3,1 2,1
w7 5,3 4,3 3,3 3,2 2,2
w7 5,4 4,4 3,4 3,3 2,3
w7 6,1 5,1 4,1 4,0 3,0
w7 6,2 5,2 4,2 4,1 3,1
w7 6,3 5,3 4,3 4,2 3,2
w7 6,4 5,4 4,4 4,3 3,3
w7 7,1 6,1 5,1 5,0 4,0
w7 7,2 6,2 5,2 5,1 4,1
w7 7,3 6,3 5,3 5,2 4,2
w7 7,4 6,4 5,4 5,3 4,3
w7 8,1 7,1 6,1 6,0 5,0
w7 8,2 7,2 6,2 6,1 5,1
w7 8,3 7,3 6,3 6,2 5,2
w7 8,4 7,4 6,4 6,3 5,3
w7 9,1 8,1 7,1 7,0 6,0
w7 9,2 8,2 7,2 7,1 6,1
w7 9,3 8,3 7,3 7,2 6,2
w7 9,4 8,4 7,4 7,3 6,3
w7 10,1 9,1 8,1 8,0 7,0
w7 10,2 9,2 8,2 8,1 7,1
w7 10,3 9,3 8,3 8,2 7,2
w7 10,4 9,4 8,4 8,3 7,3
w7 3,0 2,0 1,0 1,1 0,1
w7 3,1 2,1 1,1 1,2 0,2
w7 3,2 2,2 1,2 1,3 0,3
w7 3,3 2,3 1,3 1,4 0,4
w7 4,0 3,0 2,0 2,1 1,1
w7 4,1 3,1 2,1 2,2 1,2
w7 4,2 3,2 2,2 2,3 1,3
w7 4,3 3,3 2,3 2,4 1,4
w7 5,0 4,0 3,0 3,1 2,1
w7 5,1 4,1 3,1 3,2 2,2
w7 5,2 4,2 3,2 3,3 2,3
w7 5,3 4,3 3,3 3,4 2,4
w7 6,0 5,0 4,0 4,1 3,1
w7 6,1 5,1 4,1 4,2 3,2
w7 6,2 5,2 4,2 4,3 3,3
w7 6,3 5,3 4,3 4,4 3,4
w7 7,0 6,0 5,0 5,1 4,1
w7 7,1 6,1 5,1 5,2 4,2
w7 7,2 6,2 5,2 5,3 4,3
w7 7,3 6,3 5,3 5,4 4,4
w7 8,0 7,0 6,0 6,1 5,1
w7 8,1 7,1 6,1 6,2 5,2
w7 8,2 7,2 6,2 6,3 5,3
w7 8,3 7,3 6,3 6,4 5,4
w7 9,0 8,0 7,0 7,1 6,1
w7 9,1 8,1 7,1 7,2 6,2
w7 9,2 8,2 7,2 7,3 6,3
w7 9,3 8,3 7,3 7,4 6,4
w7 10,0 9,0 8,0 8,1 7,1
w7 10,1 9,1 8,1 8,2 7,2
w7 10,2 9,2 8,2 8,3 7,3
w7 10,3 9,3 8,3 8,4 7,4
w7 0,3 0,2 0,1 1,1 1,0
w7 0,4 0,3 0,2 1,2 1,1
w7 1,3 1,2 1,1 2,1 2,0
w7 1,4 1,3 1,2 2,2 2,1
w7 2,3 2,2 2,1 3,1 3,0
w7 2,4 2,3 2,2 3,2 3,1
w7 3,3 3,2 3,1 4,1 4,0
w7 3,4 3,3 3,2 4,2 4,1
w7 4,3 4,2 4,1 5,1 5,0
w7 4,4 4,3 4,2 5,2 5,1
w7 5,3 5,2 5,1 6,1 6,0
w7 5,4 5,3 5,2 6,2 6,1
w7 6,3 6,2 6,1 7,1 7,0
w7 6,4 6,3 6,2 7,2 7,1
w7 7,3 7,2 7,1 8,1 8,0
w7 7,4 7,3 7,2 8,2 8,1
w7 8,3 8,2 8,1 9,1 9,0
w7 8,4 8,3 8,2 9,2 9,1
w7 9,3 9,2 9,1 10,1 10,0
w7 9,4 9,3 9,2 10,2 10,1
w7 1,3 1,2 1,1 0,1 0,0
w7 1,4 1,3 1,2 0,2 0,1
w7 2,3 2,2 2,1 1,1 1,0
w7 2,4 2,3 2,2 1,2 1,1
w7 3,3 3,2 3,1 2,1 2,0
w7 3,4 3,3 3,2 2,2 2,1
w7 4,3 4,2 4,1 3,1 3,0
w7 4,4 4,3 4,2 3,2 3,1
w7 5,3 5,2 5,1 4,1 4,0
w7 5,4 5,3 5,2 4,2 4,1
w7 6,3 6,2 6,1 5,1 5,0
w7 6,4 6,3 6,2 5,2 5,1
w7 7,3 7,2 7,1 6,1 6,0
w7 7,4 7,3 7,2 6,2 6,1
w7 8,3 8,2 8,1 7,1 7,0
w7 8,4 8,3 8,2 7,2 7,1
w7 9,3 9,2 9,1 8,1 8,0
